Title,Broad AQMN Region,"Sub-region,where applicable",Site address,Latitude,Longitude,Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10 (compliance),PM2.5 (compliance equivalence),PM2.5 (compliance reference),Particles (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,Weather (indicative),WSP/WD/SD1,WGU,TEMP/RH,SOLAR,PRECIPITATION,BC,CEIL,Web link to station meta data page,O3,PM2.5,PM10
Singleton NW,Upper Hunter,,Near Rixs Creek Coal Mine,-32.52981,151.15006,123,2011 ,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,,,ü,ü,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/singleton-north-west,11,148,7
Singleton South,Upper Hunter,,"Haggarty's Lane, Whittingham",-32.5871,151.20895,39,2011 ,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,,,ü,ü,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/singleton-south,100,131,98
Warkworth,Upper Hunter,,"Warkworth, nr St Phillips Church",-32.57398,151.02721,60,2011 ,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/warkworth,84,145,21
Wybong,Upper Hunter,,"St Marks Church, Ridgelands Rd ",-32.19505,150.67342,190,2011 ,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,,,ü,ü,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/wybong,111,88,141
Beresfield,Lower Hunter,Lower Hunter,Francis Greenway High School,-32.79677,151.66099,14,1993,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/beresfield,104,121,65
Carrington,Lower Hunter,Newcastle Local,Hargrave St & Garrett St,-32.90964,151.76335,5,2014,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,,,,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/carrington,34,83,48
Mayfield,Lower Hunter,Newcastle Local,Murray Dwyer Circuit,-32.88488,151.72842,5,2014,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,,,,,,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/mayfield,120,102,94
Newcastle,Lower Hunter,Lower Hunter,"Fearnley Dawes Athletics Park, Newcastle West",-32.9312,151.75965,5,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/newcastle,32,97,44
Stockton,Lower Hunter,Newcastle Local,Fullerton St Park,-32.90201,151.78429,5,2014,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,,,,ü,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/stockton,38,111,146
Wallsend,Lower Hunter,Lower Hunter,Swimming Pool,-32.89435,151.67021,8,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/wallsend,18,130,19
Morisset,Central Coast & Lake Macquarie,Lake Macquarie,"72 Fishery Point Road, Mirrabooka",-33.10801,151.55257,51,2020,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/morisset,36,136,132
Wyong,Central Coast & Lake Macquarie,Central Coast,Wyong Racecourse ,-33.27891,151.43239,3,2012,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/wyong,89,45,62
Albion Park,Illawarra,,Croom Rd,-34.57964,150.79004,5,1997,Decommissioned (2005),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,ü,ü,ü,,,,,,,,,,,Not available,146,66,94
Albion Park Rail,Illawarra,,Aerodrome,-34.557,150.78952,5,1978,Decommissioned (1997),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,,ü,ü,ü,ü,,,,ü,,ü,,,,,Not available,10,50,135
Albion Park South,Illawarra,,Terry Reserve,-34.57781,150.78252,13,2005,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/illawarra/monitoring-stations/albion-park-south,60,136,79
Kembla Grange,Illawarra,,Kembla Grange Racecourse,-34.47408,150.81913,5,1994,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,,,,ü,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/illawarra/monitoring-stations/kembla-grange,20,34,117
Warrawong,Illawarra,,Carlotta Cres,-34.48973,150.89216,9,1993,Decommissioned (2006),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,,,,,,,,Not available,79,78,70
Wollongong,Illawarra,,Gipps St,-34.41706,150.88733,15,1993,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/illawarra/monitoring-stations/wollongong,84,59,19
Bradfield Highway,Roadside,Sydney east,Between Bradfield Highway and Cahill Expressway,-33.84327,151.21109,36,2018,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,,ü,,,,,ü,,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/special-projects-monitoring/monitoring-stations/bradfield-highway,64,95,79
Albury,Regional NSW,Riverina-Murray,Jelbart Park,-36.05182,146.93986,182,2000,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),250,ü,ü,,,,,ü,,,,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/albury,96,94,101
Armidale,Regional NSW,Northern Tablelands ,"Harris Park Football Field, Kirkwood Street",-30.50851,151.66173,982,2018,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,,ü,,,,ü,ü,ü,,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/armidale,135,61,92
Bathurst,Regional NSW,Central Tablelands,Sewage Treatment Plant,-33.40178,149.57456,625,2000,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,ü,,,,,ü,,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/bathurst,23,92,146
Coffs Harbour,Regional NSW,Mid-north Coast,"City Centre, Park off Duke St near Carralls Gully",-30.29828,153.11811,21,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,ü,,,ü,,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/coffs-harbour,117,65,83
Goulburn,Regional NSW,Southern Tablelands,"Leggett Park, Cnr of Howard Street and McDermott Street",-34.73452,149.72416,702,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/goulburn,19,89,97
Gunnedah,Regional NSW,North west slopes,Kitchener Park - Osric St,-30.98178,150.26069,274,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,,,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/gunnedah,40,97,46
Narrabri,Regional NSW,North west slopes,Narrabri Airport - Airport Rd,-30.31842,149.82932,226,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,,,,,,ü,ü,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/narrabri,86,77,134
Orange,Regional NSW,Central Tablelands,"Jaeger Reserve, Hill Street",-33.27429,149.09447,871,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,ü,,,,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/orange,60,73,129
Port Macquarie,Regional NSW,Mid-north Coast,"22 Blackbutt Road, Port Macquarie",-31.45405,152.88819,12,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),"Moved from 10 Sherwood Road (-31.44747, 152.87707) to current location on 1/7/2021. ",ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/port-macquarie,92,131,60
Tamworth,Regional NSW,North west slopes,Hyman Park,-31.1099,150.91451,405,2000,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),200,ü,ü,,,,,ü,,,,,ü,ü,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/tamworth,137,88,114
Wagga Wagga,Regional NSW,South west slopes,Morgan & Murray Sts,-35.1156,147.36085,181,2000,Decommissioned (2011),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,,,,,ü,,ü,,,,,Not available,7,107,150
Wagga Wagga North,Regional NSW,South west slopes,Wagga Wagga Racecourse,-35.10411,147.36037,179,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,ü,,,,,ü,,ü,,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/wagga-wagga-north,114,95,28
Bargo,Sydney,Sydney south west,Silica Rd,-34.30621,150.58061,365,1996,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/bargo,36,36,102
Blacktown ,Sydney,Sydney central west,Flushcombe Rd,-33.77991,150.90575,75,1992,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,ü,ü,ü,ü,,,ü,,ü,ü,,,,Not available,49,13,90
Bringelly,Sydney,Sydney south west,Ramsay Rd,-33.91766,150.76192,53,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,ü,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/bringelly,34,127,68
Camden,Sydney,Sydney south west,Camden Airport,-34.04168,150.69013,73,2012,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,ü,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/camden,77,139,139
Campbelltown,Sydney,Sydney south west,Cronulla Crescent,-34.0561,150.8122,84,1976,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,,ü,,ü,,,ü,,,,,,,Not available,38,133,105
Campbelltown West,Sydney,Sydney south west,Campbelltown TAFE,-34.06666,150.79558,112,2012,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/campbelltown-west,36,13,81
Chullora,Sydney,Sydney central west,Southern Sydney TAFE - Worth St,-33.89156,151.0461,32,2003,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,ü,ü,ü,ü,ü,,,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/chullora,104,143,16
Cook and Phillip,Sydney,Sydney east,"Cook and Phillip Park, Sydney CBD",-33.87288,151.21323,26,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,,,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/cook-and-phillip-sydney-cbd,76,28,83
Earlwood,Sydney,Sydney east,Beaman Park,-33.91619,151.13577,7,1978,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,,,,ü,,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/earlwood,144,106,125
Lidcombe,Sydney,Sydney central west,"71 East Street, Lidcombe, NSW 2141",-33.88143,151.04676,39,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,ü,ü,ü,ü,ü,,,ü,ü,ü,ü,ü,ü,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/lidcombe,26,126,39
Lidcombe (former),Sydney,Sydney central west,EPA Laboratories,-33.88416,151.04325,5,1974,Decommissioned (2002),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,,,,ü,,ü,,,,,Not available,113,31,114
Lindfield,Sydney,Sydney east,Bradfield Rd,-33.78113,151.1509,60,1994,Decommissioned (2019),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,ü,ü,ü,,,,ü,,ü,,,,,Not available,22,147,133
Liverpool,Sydney,Sydney south west,Rose St,-33.93132,150.90727,22,1991,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/liverpool,100,53,91
Macarthur,Sydney,Sydney south west,UWS Campbelltown Campus,-34.07087,150.78218,104,2004,Decommissioned (2015),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,83,60,31
Macquarie Park,Sydney,Sydney east,Macquarie University Sport Fields - Culloden Rd,-33.76524,151.1178,49,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/macquarie-park,37,55,19
Oakdale,Sydney,Sydney south west,Ridge Rd,-34.0517,150.49819,457,1996,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,,,,ü,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/oakdale,59,105,130
Parramatta North ,Sydney,Sydney central west,Cumberland Hospital - Fleet St,-33.7995,150.99777,16,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/parramatta-north,44,13,145
Penrith,Sydney,Sydney north west,"Cnr Laycock Street and Shellbourne Pl, Cranebrook NSW",-33.72687,150.70385,27,2020,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/penrith,24,88,105
Prospect ,Sydney,Sydney central west,William Lawson Park,-33.79424,150.91417,64,2007,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/prospect,15,97,139
Randwick,Sydney,Sydney east,Randwick Barracks,-33.93175,151.24278,28,1994,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/randwick,116,98,104
Richmond,Sydney,Sydney north west,University of Western Sydney,-33.61641,150.74731,21,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,ü,ü,,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/richmond,115,64,90
Rouse Hill,Sydney,Sydney central west,Cudgegong Rd,-33.68275,150.90366,73,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/rouse-hill,84,83,103
Rozelle,Sydney,Sydney east,Rozelle Hospital,-33.86433,151.16395,22,1970,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/rozelle,116,115,105
St Marys,Sydney,Sydney north west,Mamre Rd,-33.79512,150.76677,29,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,,,,ü,,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/st-marys,131,46,128
Sydney,Sydney,Sydney east,George & Market Sts,-33.87092,151.20706,28,1974,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,,ü,,,,,,,,,,Not available,35,126,116
Vineyard,Sydney,Sydney central west,Castle Hill STP,-33.65623,150.84768,35,1994,Decommissioned (2015),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,ü,ü,ü,,,,ü,,ü,ü,,,,Not available,59,138,64
Woolooware,Sydney,Sydney east,Woolooware Rd,-34.04271,151.14212,12,1982,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,,ü,ü,,,,Not available,125,58,89
Armidale,Rural Network,Northern Tablelands ,Kirkwood Street,-30.50845,151.66166,982,2018,Decommissioned (2019),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,21,78,61
Bourke,Rural Network,Far West,BoM site,-30.0362,145.952,110,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/bourke,124,140,102
Broken Hill,Rural Network,Far West,BoM airport,-32.0012,141.469,285,2008,Active,Indicative,Australian Central Standard Time (ACST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/broken-hill,102,132,134
Buronga,Rural Network,Far West,DPI research centre,-34.1747,142.201,51,2003,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/buronga,50,56,93
Cobar,Rural Network,Far West,BoM site,-31.4837,145.829,260,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/cobar,131,14,76
